"run","metric","threshold_cy","overlap_samples","spikes","irq_spikes","clean_spikes","systick_spikes","tim2_spikes","max_irq_spike_cy","max_clean_spike_cy"
"1","semaphore_give_to_taskb_wake_attribution","1000","10","10","10","0","10","0","1312","0"
"1","tim2_irq_to_task_attribution","900","89","117","89","28","89","0","1245","1192"
"1","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"1","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"1","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"2","semaphore_give_to_taskb_wake_attribution","1000","11","10","10","0","10","0","1311","0"
"2","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"2","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"2","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"2","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"3","semaphore_give_to_taskb_wake_attribution","1000","17","15","15","0","15","0","1314","0"
"3","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"3","queue_wake_latency_attribution","900","95","123","95","28","95","0","1232","1175"
"3","queue_end_to_end_latency_attribution","1100","111","139","111","28","111","0","1491","1417"
"3","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","510","0"
"4","semaphore_give_to_taskb_wake_attribution","1000","12","10","10","0","10","0","1313","0"
"4","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"4","queue_wake_latency_attribution","900","95","122","95","27","95","0","1229","1178"
"4","queue_end_to_end_latency_attribution","1100","111","138","111","27","111","0","1488","1420"
"4","mutex_lock_unlock_attribution","128","1","0","0","0","0","0","0","0"
"5","semaphore_give_to_taskb_wake_attribution","1000","13","11","11","0","11","0","1314","0"
"5","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"5","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"5","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"5","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"6","semaphore_give_to_taskb_wake_attribution","1000","12","11","11","0","11","0","1715","0"
"6","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"6","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"6","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"6","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"7","semaphore_give_to_taskb_wake_attribution","1000","10","10","10","0","10","0","1312","0"
"7","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"7","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"7","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"7","mutex_lock_unlock_attribution","128","2","2","2","0","2","0","510","0"
"8","semaphore_give_to_taskb_wake_attribution","1000","12","11","11","0","11","0","1316","0"
"8","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"8","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"8","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"8","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","510","0"
"9","semaphore_give_to_taskb_wake_attribution","1000","11","9","9","0","9","0","1311","0"
"9","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"9","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"9","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"9","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"10","semaphore_give_to_taskb_wake_attribution","1000","12","12","12","0","12","0","1312","0"
"10","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"10","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"10","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"10","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","509","0"
