"run","tasks","rounds","round_min_cy","round_avg_cy","round_max_cy","per_switch_min_cy","per_switch_avg_cy","per_switch_max_cy"
"1","2","1000","3","809","2100","1","404","1050"
"1","8","1000","3","810","2878","0","101","359"
"1","32","1000","3","3249","6945","0","101","217"
"2","2","1000","3","809","2094","1","404","1047"
"2","8","1000","3","810","2878","0","101","359"
"2","32","1000","3","3249","6945","0","101","217"
"3","2","1000","3","809","2097","1","404","1048"
"3","8","1000","3","810","2097","0","101","262"
"3","32","1000","3","3655","7757","0","114","242"
"4","2","1000","3","809","2088","1","404","1044"
"4","8","1000","3","810","2878","0","101","359"
"4","32","1000","3","3249","6945","0","101","217"
"5","2","1000","3","809","2088","1","404","1044"
"5","8","1000","3","810","2878","0","101","359"
"5","32","1000","3","3659","7753","0","114","242"
"6","2","1000","3","809","2107","1","404","1053"
"6","8","1000","3","810","2097","0","101","262"
"6","32","1000","3","3249","6945","0","101","217"
"7","2","1000","3","809","2088","1","404","1044"
"7","8","1000","3","810","2088","0","101","261"
"7","32","1000","3","3249","6945","0","101","217"
"8","2","1000","3","809","2097","1","404","1048"
"8","8","1000","3","810","2124","0","101","265"
"8","32","1000","3","3655","7757","0","114","242"
"9","2","1000","3","809","2097","1","404","1048"
"9","8","1000","3","810","2095","0","101","261"
"9","32","1000","3","3249","6945","0","101","217"
"10","2","1000","3","809","2088","1","404","1044"
"10","8","1000","3","810","2095","0","101","261"
"10","32","1000","3","3249","6947","0","101","217"
