"run","metric","count","skipped","min_cy","avg_cy","p50_cy","p95_cy","max_cy"
"1","context_switch_a_to_b","999","1","424","426","424","425","939"
"1","semaphore_give_to_taskb_wake","1000","0","766","771",,,"1313"
"1","sleep_1tick_extra","1000","0","997","998",,,"1008"
"1","tim2_irq_to_task","1000","0","668","668",,,"668"
"1","queue_wake_latency","1000","0","663","663",,,"663"
"1","queue_end_to_end_latency","1000","0","864","864",,,"864"
"1","mutex_lock_unlock","1000","0","38","38",,,"507"
"1","mutex_waiter_wake_latency","1000","0","1337","1359",,,"2238"
"1","priority_inheritance_enter_latency","1000","0","1520","1535",,,"2404"
"1","priority_inheritance_exit_latency","1000","0","2198","2226",,,"3094"
"1","soft_timer_callback_to_task","1000","0","620","620",,,"622"
