"run","steady_8_cy","steady_32_cy","ratio_permille","baseline_2task_cy","verdict"
"1","107","107","1000","429","likely_o1"
"2","107","107","1000","429","likely_o1"
"3","107","107","1000","429","likely_o1"
"4","107","107","1000","429","likely_o1"
"5","107","107","1000","429","likely_o1"
"6","107","107","1000","429","likely_o1"
"7","107","107","1000","429","likely_o1"
"8","107","107","1000","429","likely_o1"
"9","107","107","1000","429","likely_o1"
"10","107","107","1000","429","likely_o1"
"11","107","107","1000","429","likely_o1"
"12","107","107","1000","429","likely_o1"
"13","107","107","1000","429","likely_o1"
"14","107","107","1000","429","likely_o1"
"15","107","107","1000","429","likely_o1"
"16","107","107","1000","429","likely_o1"
"17","107","107","1000","429","likely_o1"
"18","107","107","1000","429","likely_o1"
"19","107","107","1000","429","likely_o1"
"20","107","107","1000","429","likely_o1"
"21","107","107","1000","429","likely_o1"
"22","107","107","1000","429","likely_o1"
"23","107","107","1000","429","likely_o1"
"24","107","107","1000","429","likely_o1"
"25","107","107","1000","429","likely_o1"
"26","107","107","1000","429","likely_o1"
"27","107","107","1000","429","likely_o1"
"28","107","107","1000","429","likely_o1"
"29","107","107","1000","429","likely_o1"
"30","107","107","1000","429","likely_o1"
